tc_id,description,action,user_id,auth_token,email,password,expected_status,expected_text_contains,run_login_check,expected_login_ok,expected_login_fail
ITC_10.19,Lock staff valid,LOCK,<STAFF_ID>,<SYSADMIN_TOKEN>,<STAFF_EMAIL>,<STAFF_PASSWORD>,200,da khoa,FALSE,200,400|401
ITC_10.20,Login staff locked,LOCK,<STAFF_ID>,<SYSADMIN_TOKEN>,<STAFF_EMAIL>,<STAFF_PASSWORD>,200,da khoa,TRUE,401|423,401|423
ITC_10.21,Unlock staff valid,UNLOCK,<STAFF_ID>,<SYSADMIN_TOKEN>,<STAFF_EMAIL>,<STAFF_PASSWORD>,200,da mo khoa,FALSE,200,400|401
ITC_10.22,Login staff after unlock,UNLOCK,<STAFF_ID>,<SYSADMIN_TOKEN>,<STAFF_EMAIL>,<STAFF_PASSWORD>,200,da mo khoa,TRUE,200,400|401
ITC_10.23,Lock owner valid,LOCK,<OWNER_ID>,<SYSADMIN_TOKEN>,<OWNER_EMAIL>,<OWNER_PASSWORD>,200,da khoa,FALSE,200,400|401
ITC_10.24,Login owner locked,LOCK,<OWNER_ID>,<SYSADMIN_TOKEN>,<OWNER_EMAIL>,<OWNER_PASSWORD>,200,da khoa,TRUE,401|423,401|423
ITC_10.25,Unlock owner then login,UNLOCK,<OWNER_ID>,<SYSADMIN_TOKEN>,<OWNER_EMAIL>,<OWNER_PASSWORD>,200,da mo khoa,TRUE,200,400|401
ITC_10.26,Lock systemadmin valid,LOCK,<ADMIN_ID>,<SYSADMIN_TOKEN>,<ADMIN_EMAIL>,<ADMIN_PASSWORD>,200,da khoa,FALSE,200,400|401
ITC_10.27,Login systemadmin locked,LOCK,<ADMIN_ID>,<SYSADMIN_TOKEN>,<ADMIN_EMAIL>,<ADMIN_PASSWORD>,200,da khoa,TRUE,401|423,401|423
ITC_10.28,Unlock systemadmin then login,UNLOCK,<ADMIN_ID>,<SYSADMIN_TOKEN>,<ADMIN_EMAIL>,<ADMIN_PASSWORD>,200,da mo khoa,TRUE,200,400|401
ITC_10.29,Invalid userId format,LOCK,<INVALID_GUID>,<SYSADMIN_TOKEN>,<STAFF_EMAIL>,<STAFF_PASSWORD>,400|404,,FALSE,200,400|401
ITC_10.30,Auth insufficient role,LOCK,<STAFF_ID>,<OWNER_TOKEN>,<STAFF_EMAIL>,<STAFF_PASSWORD>,401|403,,FALSE,200,400|401
ITC_10.31,UserId not found,LOCK,00000000-0000-0000-0000-000000000000,<SYSADMIN_TOKEN>,<STAFF_EMAIL>,<STAFF_PASSWORD>,404,users.notfound,FALSE,200,400|401
ITC_10.32,Lock already locked,LOCK,<STAFF_ID>,<SYSADMIN_TOKEN>,<STAFF_EMAIL>,<STAFF_PASSWORD>,200,da khoa,FALSE,200,400|401
ITC_10.33,Unlock already active,UNLOCK,<STAFF_ID>,<SYSADMIN_TOKEN>,<STAFF_EMAIL>,<STAFF_PASSWORD>,200,da mo khoa,FALSE,200,400|401
ITC_10.34,UserId empty,LOCK,<EMPTY>,<SYSADMIN_TOKEN>,<STAFF_EMAIL>,<STAFF_PASSWORD>,400|404,,FALSE,200,400|401
ITC_10.35,UserId whitespace,LOCK,<WS>,<SYSADMIN_TOKEN>,<STAFF_EMAIL>,<STAFF_PASSWORD>,400|404,,FALSE,200,400|401
ITC_10.36,Invalid token,LOCK,<STAFF_ID>,<INVALID_TOKEN>,<STAFF_EMAIL>,<STAFF_PASSWORD>,401,,FALSE,200,400|401
